name,Stark_set,exclude,reason_exclude,,
/Set D/018a.jpg,D,0,NaN,,
/Set D/019a.jpg,D,0,NaN,,
/Set D/020a.jpg,D,0,NaN,,
/Set D/021a.jpg,D,0,NaN,,
/Set D/022a.jpg,D,0,NaN,,
/Set D/023a.jpg,D,0,NaN,,
/Set D/024a.jpg,D,0,NaN,,
/Set D/025a.jpg,D,0,NaN,,
/Set D/026a.jpg,D,0,NaN,,
/Set D/027a.jpg,D,0,NaN,,
/Set D/028a.jpg,D,1,animal,,
/Set D/029a.jpg,D,0,NaN,,
/Set D/030a.jpg,D,0,NaN,,
/Set D/031a.jpg,D,0,NaN,,
/Set D/032a.jpg,D,0,NaN,,
/Set D/033a.jpg,D,1,animal,,
/Set D/034a.jpg,D,0,NaN,,
/Set D/035a.jpg,D,0,NaN,,
/Set D/036a.jpg,D,0,NaN,,
/Set D/037a.jpg,D,0,NaN,,
/Set D/038a.jpg,D,1,hard-to-understand,,
/Set D/039a.jpg,D,0,NaN,,
/Set D/040a.jpg,D,0,NaN,,
/Set D/041a.jpg,D,0,NaN,,
/Set D/042a.jpg,D,0,NaN,,
/Set D/043a.jpg,D,0,NaN,,
/Set D/044a.jpg,D,0,NaN,,
/Set D/045a.jpg,D,0,NaN,,
/Set D/046a.jpg,D,0,NaN,,
/Set D/047a.jpg,D,0,NaN,,
/Set D/048a.jpg,D,0,NaN,,
/Set D/049a.jpg,D,0,NaN,,
/Set D/050a.jpg,D,0,NaN,,
/Set D/051a.jpg,D,0,NaN,,
/Set D/052a.jpg,D,0,NaN,,
/Set D/053a.jpg,D,1,animal,,
/Set D/054a.jpg,D,1,hard-to-understand,,
/Set D/055a.jpg,D,0,NaN,,
/Set D/056a.jpg,D,0,NaN,,
/Set D/057a.jpg,D,0,NaN,,
/Set D/058a.jpg,D,0,NaN,,
/Set D/059a.jpg,D,0,NaN,,
/Set D/060a.jpg,D,0,NaN,,
/Set D/061a.jpg,D,0,NaN,,
/Set D/062a.jpg,D,0,NaN,,
/Set D/063a.jpg,D,1,animal,,
/Set D/064a.jpg,D,0,NaN,,
/Set D/065a.jpg,D,0,NaN,,
/Set D/066a.jpg,D,1,word,,
/Set D/067a.jpg,D,1,animal,,
/Set D/068a.jpg,D,0,NaN,,
/Set D/069a.jpg,D,1,hard-to-understand,,
/Set D/070a.jpg,D,1,word,,
/Set D/071a.jpg,D,0,NaN,,
/Set D/072a.jpg,D,0,NaN,,
/Set D/073a.jpg,D,0,NaN,,
/Set D/074a.jpg,D,1,animal,,
/Set D/075a.jpg,D,1,animal,,
/Set D/076a.jpg,D,0,NaN,,
/Set D/077a.jpg,D,0,NaN,,
/Set D/078a.jpg,D,0,NaN,,
/Set D/079a.jpg,D,0,NaN,,
/Set D/080a.jpg,D,0,NaN,,
